ID,fromAgent_ID,toAgent_ID,messageType,priority,payload,status,sentAt,deliveredAt,readAt,expiresAt,retryCount
1,1,2,MCPDataAnalysisRequest,HIGH,"{""mcp_tool"": ""compute_correlation_matrix"", ""symbols"": [""BTC"", ""ETH"", ""SOL""], ""timeframe"": ""24h""}",READ,2025-08-30T18:46:00.000Z,2025-08-30T18:46:01.000Z,2025-08-30T18:46:02.000Z,2025-08-30T19:46:00.000Z,0
2,2,4,MLPredictionSignal,HIGH,"{""mcp_tool"": ""predict_price"", ""symbol"": ""BTC"", ""horizon_hours"": 24, ""confidence"": 0.82, ""prediction"": 46200}",DELIVERED,2025-08-30T18:46:45.000Z,2025-08-30T18:46:46.000Z,2025-08-30T18:46:50.000Z,2025-08-30T19:46:45.000Z,0
3,3,4,StrategySignal,HIGH,"{""mcp_tool"": ""gaussian_mean_reversion"", ""symbol"": ""ETH"", ""signal"": ""BUY"", ""confidence"": 0.75, ""target_price"": 3280}",READ,2025-08-30T18:46:30.000Z,2025-08-30T18:46:31.000Z,2025-08-30T18:46:35.000Z,2025-08-30T19:46:30.000Z,0
4,5,2,TechnicalIndicators,MEDIUM,"{""mcp_tool"": ""momentum_indicators"", ""symbol"": ""SOL"", ""rsi"": 72.1, ""macd"": 2.85, ""signal"": ""OVERBOUGHT""}",DELIVERED,2025-08-30T18:46:00.000Z,2025-08-30T18:46:01.000Z,,2025-08-30T19:46:00.000Z,0
5,6,8,NewsCorrelationData,MEDIUM,"{""headline"": ""Solana network upgrade completed"", ""symbol"": ""SOL"", ""sentiment"": 0.85, ""perplexity_source"": true, ""impact_score"": 0.7}",READ,2025-08-30T18:45:45.000Z,2025-08-30T18:45:46.000Z,2025-08-30T18:45:50.000Z,2025-08-30T19:45:45.000Z,0
6,7,2,FeatureStoreUpdate,LOW,"{""mcp_tool"": ""feature_engineering"", ""features"": [""technical_indicators"", ""volume_profile""], ""symbols"": [""BTC"", ""ETH""], ""cds_transaction"": true}",DELIVERED,2025-08-30T18:45:30.000Z,2025-08-30T18:45:31.000Z,,2025-08-30T19:45:30.000Z,0
7,8,2,NewsCorrelationResult,MEDIUM,"{""symbol"": ""BTC"", ""correlation_score"": 0.65, ""price_impact"": 0.03, ""sentiment_change"": 0.15, ""correlation_window"": 24}",READ,2025-08-30T18:45:15.000Z,2025-08-30T18:45:16.000Z,2025-08-30T18:45:20.000Z,2025-08-30T19:45:15.000Z,0
8,9,3,MCTSOptimization,HIGH,"{""mcp_tool"": ""mcts_calculation"", ""strategy"": ""mean_reversion"", ""simulation_runs"": 10000, ""optimal_params"": {""lookback"": 20, ""threshold"": 2.0}}",DELIVERED,2025-08-30T18:45:00.000Z,2025-08-30T18:45:01.000Z,2025-08-30T18:45:05.000Z,2025-08-30T19:45:00.000Z,0
9,10,1,AWSDataUpdate,LOW,"{""data_source"": ""aws_data_exchange"", ""symbols"": [""BTC"", ""ETH""], ""validation_status"": ""PASSED"", ""records_updated"": 1500}",READ,2025-08-30T18:44:45.000Z,2025-08-30T18:44:46.000Z,2025-08-30T18:44:50.000Z,2025-08-30T19:44:45.000Z,0
10,11,12,KnowledgeRetrieval,MEDIUM,"{""query"": ""crypto market volatility patterns"", ""semantic_results"": 15, ""context_window"": 4096, ""relevance_score"": 0.88}",DELIVERED,2025-08-30T18:44:30.000Z,2025-08-30T18:44:31.000Z,,2025-08-30T19:44:30.000Z,0
11,12,13,AgentOrchestration,HIGH,"{""active_agents"": 15, ""load_balance_status"": ""OPTIMAL"", ""health_check_passed"": 14, ""failed_agents"": [""aws_data_exchange_agent""]}",READ,2025-08-30T18:44:15.000Z,2025-08-30T18:44:16.000Z,2025-08-30T18:44:20.000Z,2025-08-30T19:44:15.000Z,0
